Time [s],Forward Velocity [m/s],Angular Velocity [rad/s],Subject #,Range [m],Bearing [rad],x [m],y [m],Orientation [rad]
1288971972.822,0.165,0.902,,,,,,
1288971972.823,,,,,,2.6602797,3.4223869,2.62139633
1288971972.762,,,4.0,2.283,0.493,,,
1288971975.706,0.165,0.902,,,,,,
1288971975.707,,,,,,2.2421744,3.469849,3.09279633
1288971975.722,,,16.0,1.35,0.537,,,
1288971975.722,,,17.0,3.372,0.231,,,
1288971975.826,0.165,0.902,,,,,,
1288971975.827,,,,,,2.223494,3.470802,3.11719633
1288971975.722,,,16.0,1.35,0.537,,,
1288971975.722,,,17.0,3.372,0.231,,,
1288971981.957,0.165,-1.003,,,,,,
1288971981.958,,,,,,1.8597736,3.3726054,-2.81808898
1288971975.722,,,16.0,1.35,0.537,,,
1288971975.722,,,17.0,3.372,0.231,,,
1288971982.569,,,17.0,2.921,0.223,,,
1288971982.674,0.165,-1.003,,,,,,
1288971982.675,,,,,,1.7653283,3.3586237,3.04289633
1288971975.722,,,16.0,1.35,0.537,,,
1288971975.722,,,17.0,3.372,0.231,,,
1288971982.569,,,17.0,2.921,0.223,,,
1288971988.319,0.165,0.902,,,,,,
1288971988.32,,,,,,0.9307566,3.5260864,2.94049633
1288971988.341,,,17.0,1.92,0.527,,,
1288971988.439,0.165,0.902,,,,,,
1288971988.4399998,,,,,,0.9129023,3.529986,2.96769633
1288971988.341,,,17.0,1.92,0.527,,,
1288971988.964,,,17.0,2.061,0.206,,,
1288971989.045,0.165,0.902,,,,,,
1288971989.046,,,,,,0.83722,3.531148,-2.94258898
1288971988.341,,,17.0,1.92,0.527,,,
1288971988.964,,,17.0,2.061,0.206,,,
1288971989.379,,,17.0,2.047,-0.024,,,
1288971989.405,0.165,0.902,,,,,,
1288971989.406,,,,,,0.7927359,3.5174389,-2.74038898
1288971988.341,,,17.0,1.92,0.527,,,
1288971988.964,,,17.0,2.061,0.206,,,
1288971989.379,,,17.0,2.047,-0.024,,,
1288971989.587,,,17.0,1.992,-0.143,,,
1288971989.645,0.165,0.902,,,,,,
1288971989.646,,,,,,0.7649178,3.5048138,-2.59748898
1288971988.341,,,17.0,1.92,0.527,,,
1288971988.964,,,17.0,2.061,0.206,,,
1288971989.379,,,17.0,2.047,-0.024,,,
1288971989.587,,,17.0,1.992,-0.143,,,
1288971989.797,,,17.0,1.916,-0.266,,,
1288971989.882,0.165,0.902,,,,,,
1288971989.883,,,,,,0.7353384,3.4881388,-2.46488898
1288971988.341,,,17.0,1.92,0.527,,,
1288971988.964,,,17.0,2.061,0.206,,,
1288971989.379,,,17.0,2.047,-0.024,,,
1288971989.587,,,17.0,1.992,-0.143,,,
1288971989.797,,,17.0,1.916,-0.266,,,
1288971996.732,0.165,0.902,,,,,,
1288971996.733,,,,,,-0.0011971,2.7518277,-2.36788898
1288971996.759,,,15.0,2.664,0.411,,,
1288971996.853,0.165,0.902,,,,,,
1288971996.8539999,,,,,,-0.0146952,2.7411105,-2.33088898
1288971996.759,,,15.0,2.664,0.411,,,
1288971998.415,0.165,-1.003,,,,,,
1288971998.416,,,,,,-0.1100102,2.5484574,-1.80798898
1288971996.759,,,15.0,2.664,0.411,,,
1288972000.815,0.165,0.902,,,,,,
1288972000.816,,,,,,-0.2754628,2.3661171,-2.45648898
1288971996.759,,,15.0,2.664,0.411,,,
1288972006.945,0.165,0.902,,,,,,
1288972006.9459999,,,,,,-0.4698875,1.4437715,-1.58778898
1288972007.014,,,15.0,1.353,-0.374,,,
1288972007.065,0.165,0.902,,,,,,
1288972007.066,,,,,,-0.4708487,1.4269122,-1.56000367
1288972007.014,,,15.0,1.353,-0.374,,,
1288972018.359,0.165,0.902,,,,,,
1288972018.36,,,,,,0.1553,-0.1417364,-1.10970367
1288972018.42,,,7.0,2.865,0.198,,,
1288972018.477,0.165,0.902,,,,,,
1288972018.478,,,,,,0.1625652,-0.1581289,-1.07970367
1288972018.42,,,7.0,2.865,0.198,,,
1288972018.631,,,7.0,2.863,0.088,,,
1288972018.719,0.165,0.902,,,,,,
1288972018.72,,,,,,0.1779483,-0.1865312,-0.93580367
1288972018.42,,,7.0,2.865,0.198,,,
1288972018.631,,,7.0,2.863,0.088,,,
1288972024.489,0.165,0.902,,,,,,
1288972024.49,,,,,,0.9043375,-0.6551548,-0.49340367
1288972018.42,,,7.0,2.865,0.198,,,
1288972018.631,,,7.0,2.863,0.088,,,
1288972034.341,0.165,-1.003,,,,,,
1288972034.342,,,,,,2.3242503,-1.0612077,-0.26010367
1288972034.379,,,11.0,2.428,-0.31,,,
1288972034.454,0.165,-1.003,,,,,,
1288972034.455,,,,,,2.3405438,-1.0654232,-0.29960367
1288972034.379,,,11.0,2.428,-0.31,,,
1288972034.594,,,11.0,2.467,-0.177,,,
1288972034.701,0.165,-1.003,,,,,,
1288972034.702,,,,,,2.3691681,-1.0787871,-0.42450367
1288972034.808,,,11.0,2.482,-0.058,,,
1288972034.821,0.165,-1.003,,,,,,
1288972034.822,,,,,,2.3846683,-1.0844262,-0.51790367
1288972034.808,,,11.0,2.482,-0.058,,,
1288972035.022,,,11.0,2.454,0.057,,,
1288972035.061,0.165,-1.003,,,,,,
1288972035.062,,,,,,2.4102825,-1.1013498,-0.64770367
1288972034.808,,,11.0,2.482,-0.058,,,
1288972035.022,,,11.0,2.454,0.057,,,
1288972035.236,,,11.0,2.401,0.175,,,
1288972035.301,0.165,-1.003,,,,,,
1288972035.302,,,,,,2.4391244,-1.1219787,-0.81820367
1288972034.808,,,11.0,2.482,-0.058,,,
1288972035.022,,,11.0,2.454,0.057,,,
1288972035.236,,,11.0,2.401,0.175,,,
1288972047.07,0.165,-1.003,,,,,,
1288972047.0709999,,,,,,2.5168919,-2.8700033,-1.53460367
1288972047.175,,,6.0,2.761,-0.256,,,
1288972047.193,0.165,-1.003,,,,,,
1288972047.194,,,,,,2.5137464,-2.8887506,-1.53420367
1288972047.175,,,6.0,2.761,-0.256,,,
1288972048.455,,,9.0,3.726,-0.241,,,
1288972048.517,0.165,-1.003,,,,,,
1288972048.518,,,,,,2.4505934,-3.0423201,-2.39008898
1288972047.175,,,6.0,2.761,-0.256,,,
1288972048.455,,,9.0,3.726,-0.241,,,
1288972048.665,,,9.0,3.801,-0.123,,,
1288972048.756,0.165,-1.003,,,,,,
1288972048.757,,,,,,2.4252833,-3.0643198,-2.52438898
1288972047.175,,,6.0,2.761,-0.256,,,
1288972048.455,,,9.0,3.726,-0.241,,,
1288972048.665,,,9.0,3.801,-0.123,,,
1288972048.879,,,9.0,3.811,-0.009,,,
1288972048.994,0.165,-1.003,,,,,,
1288972048.995,,,,,,2.3989034,-3.0799146,-2.67668898
1288972049.089,,,9.0,3.741,0.113,,,
1288972049.117,0.165,-1.003,,,,,,
1288972049.118,,,,,,2.3835589,-3.0871679,-2.73458898
1288972049.089,,,9.0,3.741,0.113,,,
1288972049.298,,,9.0,3.618,0.293,,,
1288972049.357,0.165,-1.003,,,,,,
1288972049.358,,,,,,2.3507058,-3.0985182,-2.88118898
1288972049.089,,,9.0,3.741,0.113,,,
1288972049.298,,,9.0,3.618,0.293,,,
1288972059.926,0.165,0.902,,,,,,
1288972059.927,,,,,,0.7670402,-3.0014956,3.07259633
1288972049.089,,,9.0,3.741,0.113,,,
1288972049.298,,,9.0,3.618,0.293,,,
1288972060.45,,,10.0,1.477,-0.522,,,
1288972060.526,0.165,0.902,,,,,,
1288972060.527,,,,,,0.6867188,-3.0055518,-2.89058898
1288972049.089,,,9.0,3.741,0.113,,,
1288972049.298,,,9.0,3.618,0.293,,,
1288972060.45,,,10.0,1.477,-0.522,,,
1288972064.137,0.165,0.902,,,,,,
1288972064.138,,,,,,0.2066234,-3.2511305,-2.65158898
1288972049.089,,,9.0,3.741,0.113,,,
1288972049.298,,,9.0,3.618,0.293,,,
1288972060.45,,,10.0,1.477,-0.522,,,
1288972064.386,,,9.0,1.868,0.532,,,
1288972064.497,0.165,0.902,,,,,,
1288972064.498,,,,,,0.1647799,-3.2756222,-2.46438898
1288972064.601,,,9.0,1.941,0.423,,,
1288972064.613,0.165,0.902,,,,,,
1288972064.6139998,,,,,,0.1542232,-3.2851511,-2.40638898
1288972064.601,,,9.0,1.941,0.423,,,
1288972064.815,,,9.0,1.997,0.265,,,
1288972064.857,0.165,0.902,,,,,,
1288972064.858,,,,,,0.1306529,-3.3081932,-2.25848898
1288972064.601,,,9.0,1.941,0.423,,,
1288972064.815,,,9.0,1.997,0.265,,,
1288972065.031,,,9.0,2.021,0.149,,,
1288972065.097,0.165,0.902,,,,,,
1288972065.0979998,,,,,,0.1129185,-3.3341589,-2.12138898
1288972064.601,,,9.0,1.941,0.423,,,
1288972064.815,,,9.0,1.997,0.265,,,
1288972065.031,,,9.0,2.021,0.149,,,
1288972066.299,0.165,0.902,,,,,,
1288972066.3,,,,,,0.0322599,-3.4968262,-2.01118898
1288972066.36,,,9.0,1.852,0.015,,,
1288972066.414,0.165,0.902,,,,,,
1288972066.415,,,,,,0.0265029,-3.5091314,-1.98498898
1288972066.36,,,9.0,1.852,0.015,,,
1288972066.573,,,9.0,1.801,-0.088,,,
1288972066.654,0.165,0.902,,,,,,
1288972066.655,,,,,,0.0150317,-3.5401662,-1.83708898
1288972066.36,,,9.0,1.852,0.015,,,
1288972066.573,,,9.0,1.801,-0.088,,,
1288972067.006,,,9.0,1.611,-0.394,,,
1288972067.017,0.165,0.902,,,,,,
1288972067.018,,,,,,0.0038392,-3.5873325,-1.60548898
1288972066.36,,,9.0,1.852,0.015,,,
1288972066.573,,,9.0,1.801,-0.088,,,
1288972067.006,,,9.0,1.611,-0.394,,,
1288972070.745,0.165,0.902,,,,,,
1288972070.7459998,,,,,,0.1689469,-4.116175,-1.22960367
1288972066.36,,,9.0,1.852,0.015,,,
1288972066.573,,,9.0,1.801,-0.088,,,
1288972067.006,,,9.0,1.611,-0.394,,,
1288972070.971,,,6.0,2.132,0.428,,,
1288972070.985,0.165,0.902,,,,,,
1288972070.9859998,,,,,,0.1806874,-4.1464888,-1.11790367
1288972066.36,,,9.0,1.852,0.015,,,
1288972066.573,,,9.0,1.801,-0.088,,,
1288972067.006,,,9.0,1.611,-0.394,,,
1288972070.971,,,6.0,2.132,0.428,,,
1288972071.398,,,6.0,2.218,0.212,,,
1288972071.464,0.165,0.902,,,,,,
1288972071.465,,,,,,0.2145255,-4.1984465,-0.83990367
1288972066.36,,,9.0,1.852,0.015,,,
1288972066.573,,,9.0,1.801,-0.088,,,
1288972067.006,,,9.0,1.611,-0.394,,,
1288972070.971,,,6.0,2.132,0.428,,,
1288972071.398,,,6.0,2.218,0.212,,,
1288972071.611,,,6.0,2.215,0.034,,,
1288972071.701,0.165,0.902,,,,,,
1288972071.702,,,,,,0.2367609,-4.2219791,-0.69890367
1288972066.36,,,9.0,1.852,0.015,,,
1288972066.573,,,9.0,1.801,-0.088,,,
1288972067.006,,,9.0,1.611,-0.394,,,
1288972070.971,,,6.0,2.132,0.428,,,
1288972071.398,,,6.0,2.218,0.212,,,
1288972071.611,,,6.0,2.215,0.034,,,
1288972073.749,0.165,0.902,,,,,,
1288972073.75,,,,,,0.490615,-4.3977013,-0.61350367
1288972073.82,,,6.0,1.859,-0.132,,,
1288972073.869,0.165,0.902,,,,,,
1288972073.87,,,,,,0.5054296,-4.4076999,-0.57820367
1288972073.82,,,6.0,1.859,-0.132,,,
1288972074.246,,,6.0,1.689,-0.384,,,
1288972074.342,0.165,0.902,,,,,,
1288972074.343,,,,,,0.5586243,-4.4335535,-0.28090367
1288972074.458,,,6.0,1.586,-0.507,,,
1288972074.469,0.165,0.902,,,,,,
1288972074.47,,,,,,0.577334,-4.4391534,-0.21130367
1288972074.458,,,6.0,1.586,-0.507,,,
1288972088.131,0.165,0.902,,,,,,
1288972088.132,,,,,,2.6295304,-4.6725305,-0.11850367
1288972088.161,,,8.0,1.886,-0.066,,,
1288972088.252,0.165,0.902,,,,,,
1288972088.253,,,,,,2.6497863,-4.6749274,-0.07970367
1288972088.161,,,8.0,1.886,-0.066,,,
1288972088.374,,,8.0,1.823,-0.155,,,
1288972088.491,0.165,0.902,,,,,,
1288972088.4919999,,,,,,2.6793335,-4.6758838,0.05949633
1288972088.588,,,8.0,1.756,-0.278,,,
1288972088.613,0.165,0.902,,,,,,
1288972088.6139998,,,,,,2.6942152,-4.67596,0.13389633
1288972088.588,,,8.0,1.756,-0.278,,,
1288972090.057,0.165,0.902,,,,,,
1288972090.0579998,,,,,,2.88125,-4.5909467,0.53379633
1288972090.116,,,11.0,2.564,0.424,,,
1288972090.177,0.165,0.902,,,,,,
1288972090.178,,,,,,2.897923,-4.5823724,0.57129633
1288972090.116,,,11.0,2.564,0.424,,,
1288972090.54,,,11.0,2.679,0.176,,,
1288972090.657,0.165,0.902,,,,,,
1288972090.658,,,,,,2.9467136,-4.5422717,0.84599633
1288972090.754,,,11.0,2.687,0.066,,,
1288972090.777,0.165,0.902,,,,,,
1288972090.7779999,,,,,,2.9567054,-4.5302701,0.91509633
1288972090.754,,,11.0,2.687,0.066,,,
1288972090.967,,,11.0,2.679,-0.052,,,
1288972091.017,0.165,0.902,,,,,,
1288972091.018,,,,,,2.9752295,-4.5029075,1.05039633
1288972090.754,,,11.0,2.687,0.066,,,
1288972090.967,,,11.0,2.679,-0.052,,,
1288972091.181,,,11.0,2.586,-0.171,,,
1288972091.255,0.165,0.902,,,,,,
1288972091.256,,,,,,2.9900027,-4.4739688,1.18559633
1288972090.754,,,11.0,2.687,0.066,,,
1288972090.967,,,11.0,2.679,-0.052,,,
1288972091.181,,,11.0,2.586,-0.171,,,
1288972091.395,,,11.0,2.477,-0.294,,,
1288972091.497,0.165,0.902,,,,,,
1288972091.498,,,,,,3.0006126,-4.4425368,1.32699633
1288972090.754,,,11.0,2.687,0.066,,,
1288972090.967,,,11.0,2.679,-0.052,,,
1288972091.181,,,11.0,2.586,-0.171,,,
1288972091.395,,,11.0,2.477,-0.294,,,
1288972091.735,0.165,-1.003,,,,,,
1288972091.7359998,,,,,,3.0066831,-4.41195,1.47029633
1288972090.754,,,11.0,2.687,0.066,,,
1288972090.967,,,11.0,2.679,-0.052,,,
1288972091.181,,,11.0,2.586,-0.171,,,
1288972091.395,,,11.0,2.477,-0.294,,,
1288972092.031,,,11.0,2.283,-0.431,,,
1288972092.095,0.165,-1.003,,,,,,
1288972092.096,,,,,,3.0115271,-4.3645696,1.32349633
1288972090.754,,,11.0,2.687,0.066,,,
1288972090.967,,,11.0,2.679,-0.052,,,
1288972091.181,,,11.0,2.586,-0.171,,,
1288972091.395,,,11.0,2.477,-0.294,,,
1288972092.031,,,11.0,2.283,-0.431,,,
1288972092.581,0.165,0.902,,,,,,
1288972092.582,,,,,,3.032717,-4.3029343,1.02179633
1288972092.67,,,5.0,1.829,0.193,,,
1288972092.698,0.165,0.902,,,,,,
1288972092.699,,,,,,3.0430254,-4.290265,1.01129633
1288972092.67,,,5.0,1.829,0.193,,,
1288972092.884,,,11.0,2.359,-0.195,,,
1288972092.941,0.165,0.902,,,,,,
1288972092.942,,,,,,3.0572051,-4.2602914,1.16929633
1288972092.67,,,5.0,1.829,0.193,,,
1288972092.884,,,11.0,2.359,-0.195,,,
1288972094.381,0.165,0.902,,,,,,
1288972094.382,,,,,,3.1193557,-4.0565897,1.27039633
1288972094.416,,,5.0,1.348,-0.145,,,
1288972094.416,,,13.0,4.295,0.276,,,
1288972094.501,0.165,0.902,,,,,,
1288972094.5019999,,,,,,3.1253685,-4.0399199,1.30479633
1288972094.416,,,5.0,1.348,-0.145,,,
1288972094.416,,,13.0,4.295,0.276,,,
1288972094.629,,,11.0,1.868,-0.528,,,
1288972094.739,0.165,0.902,,,,,,
1288972094.74,,,,,,3.1337176,-4.0079956,1.45579633
1288972094.416,,,5.0,1.348,-0.145,,,
1288972094.416,,,13.0,4.295,0.276,,,
1288972094.629,,,11.0,1.868,-0.528,,,
1288972095.678,,,7.0,1.962,0.308,,,
1288972097.625,0.165,0.902,,,,,,
1288972097.626,,,,,,2.9755146,-3.6264993,2.05149633
1288972097.656,,,7.0,1.69,0.288,,,
1288972097.745,0.165,0.902,,,,,,
1288972097.7459998,,,,,,2.9679724,-3.6116976,2.08529633
1288972097.656,,,7.0,1.69,0.288,,,
1288972097.866,,,7.0,1.686,0.203,,,
1288972097.983,0.165,0.902,,,,,,
1288972097.984,,,,,,2.9523321,-3.5862048,2.22619633
1288972098.074,,,7.0,1.692,0.102,,,
1288972098.105,0.165,0.902,,,,,,
1288972098.106,,,,,,2.9412115,-3.5754731,2.30039633
1288972098.074,,,7.0,1.692,0.102,,,
1288972098.282,,,7.0,1.668,-0.017,,,
1288972098.343,0.165,0.902,,,,,,
1288972098.3439999,,,,,,2.9177079,-3.5495406,2.45329633
1288972098.074,,,7.0,1.692,0.102,,,
1288972098.282,,,7.0,1.668,-0.017,,,
1288972098.49,,,7.0,1.614,-0.145,,,
1288972098.589,0.165,0.902,,,,,,
1288972098.59,,,,,,2.8925354,-3.5291346,2.61099633
1288972098.697,,,7.0,1.548,-0.262,,,
1288972098.703,0.165,0.902,,,,,,
1288972098.704,,,,,,2.8803184,-3.523126,2.67079633
1288972098.697,,,7.0,1.548,-0.262,,,
1288972098.907,,,7.0,1.465,-0.386,,,
1288972098.943,0.165,0.902,,,,,,
1288972098.944,,,,,,2.8477911,-3.507569,2.79969633
1288972098.697,,,7.0,1.548,-0.262,,,
1288972098.907,,,7.0,1.465,-0.386,,,
1288972111.679,0.165,0.902,,,,,,
1288972111.6799998,,,,,,0.9784572,-3.0469209,2.89619633
1288972111.707,,,10.0,1.986,-0.062,,,
1288972111.799,0.165,0.902,,,,,,
1288972111.8,,,,,,0.9610895,-3.0423907,2.93399633
1288972111.923,,,10.0,1.941,-0.135,,,
1288972111.925,0.165,0.902,,,,,,
1288972111.9259999,,,,,,0.9445909,-3.0397006,3.00879633
1288972111.923,,,10.0,1.941,-0.135,,,
1288972112.136,,,10.0,1.829,-0.303,,,
1288972112.165,0.165,0.902,,,,,,
1288972112.166,,,,,,0.9136556,-3.036702,-3.12998898
1288972111.923,,,10.0,1.941,-0.135,,,
1288972112.136,,,10.0,1.829,-0.303,,,
1288972115.649,0.165,0.902,,,,,,
1288972115.6499999,,,,,,0.393834,-3.0935066,-3.03028898
1288972111.923,,,10.0,1.941,-0.135,,,
1288972112.136,,,10.0,1.829,-0.303,,,
1288972116.756,,,9.0,2.135,0.365,,,
1288972116.845,0.165,0.902,,,,,,
1288972116.846,,,,,,0.2488244,-3.1576539,-2.34548898
1288972116.967,,,9.0,2.172,0.253,,,
1288972116.969,0.165,0.902,,,,,,
1288972116.97,,,,,,0.2374158,-3.1693986,-2.27418898
1288972116.967,,,9.0,2.172,0.253,,,
1288972117.177,,,9.0,2.198,0.14,,,
1288972117.209,0.165,0.902,,,,,,
1288972117.21,,,,,,0.2178941,-3.1950212,-2.13238898
1288972116.967,,,9.0,2.172,0.253,,,
1288972117.177,,,9.0,2.198,0.14,,,
1288972118.891,0.165,0.902,,,,,,
1288972118.892,,,,,,0.1043375,-3.4210199,-2.03068898
1288972118.957,,,9.0,1.939,0.006,,,
1288972119.009,0.165,0.902,,,,,,
1288972119.01,,,,,,0.0980027,-3.4331841,-2.00118898
1288972118.957,,,9.0,1.939,0.006,,,
1288972119.168,,,9.0,1.897,-0.109,,,
1288972119.253,0.165,0.902,,,,,,
1288972119.254,,,,,,0.0850805,-3.461621,-1.85188898
1288972118.957,,,9.0,1.939,0.006,,,
1288972119.168,,,9.0,1.897,-0.109,,,
1288972119.38,,,9.0,1.83,-0.223,,,
1288972119.493,0.165,0.902,,,,,,
1288972119.494,,,,,,0.0791437,-3.4944534,-1.72008898
1288972119.591,,,9.0,1.739,-0.349,,,
1288972119.61,0.165,0.902,,,,,,
1288972119.6109998,,,,,,0.074591,-3.5099961,-1.62828898
1288972119.591,,,9.0,1.739,-0.349,,,
1288972119.804,,,9.0,1.623,-0.474,,,
1288972119.852,0.165,0.902,,,,,,
1288972119.853,,,,,,0.0752177,-3.5408872,-1.50380367
1288972119.591,,,9.0,1.739,-0.349,,,
1288972119.804,,,9.0,1.623,-0.474,,,
1288972120.648,,,6.0,2.66,0.18,,,
1288972120.693,0.165,0.902,,,,,,
1288972120.694,,,,,,0.1077263,-3.6502968,-1.00230367
1288972119.591,,,9.0,1.739,-0.349,,,
1288972119.804,,,9.0,1.623,-0.474,,,
1288972120.648,,,6.0,2.66,0.18,,,
1288972120.861,,,6.0,2.679,0.07,,,
1288972120.931,0.165,0.902,,,,,,
1288972120.932,,,,,,0.1257868,-3.6751348,-0.86770367
1288972119.591,,,9.0,1.739,-0.349,,,
1288972119.804,,,9.0,1.623,-0.474,,,
1288972120.648,,,6.0,2.66,0.18,,,
1288972120.861,,,6.0,2.679,0.07,,,
1288972121.072,,,6.0,2.654,-0.05,,,
1288972121.171,0.165,0.902,,,,,,
1288972121.172,,,,,,0.1476725,-3.6986675,-0.72620367
1288972121.285,,,6.0,2.569,-0.161,,,
1288972121.291,0.165,0.902,,,,,,
1288972121.2919998,,,,,,0.161045,-3.7098872,-0.65560367
1288972121.285,,,6.0,2.569,-0.161,,,
1288972121.496,,,6.0,2.475,-0.289,,,
1288972121.531,0.165,0.902,,,,,,
1288972121.5319998,,,,,,0.1864544,-3.7275721,-0.51750367
1288972121.285,,,6.0,2.569,-0.161,,,
1288972121.496,,,6.0,2.475,-0.289,,,
1288972121.711,,,6.0,2.346,-0.409,,,
1288972121.771,0.165,0.902,,,,,,
1288972121.7719998,,,,,,0.2139083,-3.7433766,-0.36850367
1288972121.285,,,6.0,2.569,-0.161,,,
1288972121.496,,,6.0,2.475,-0.289,,,
1288972121.711,,,6.0,2.346,-0.409,,,
1288972121.924,,,6.0,2.195,-0.529,,,
1288972122.017,0.165,0.902,,,,,,
1288972122.018,,,,,,0.2471319,-3.7536348,-0.22710367
1288972121.285,,,6.0,2.569,-0.161,,,
1288972121.496,,,6.0,2.475,-0.289,,,
1288972121.711,,,6.0,2.346,-0.409,,,
1288972121.924,,,6.0,2.195,-0.529,,,
1288972129.825,0.165,0.902,,,,,,
1288972129.826,,,,,,1.3885362,-3.5302292,0.21669633
1288972129.9,,,11.0,3.292,0.13,,,
1288972129.942,0.165,0.902,,,,,,
1288972129.9429998,,,,,,1.4045663,-3.5267415,0.24479633
1288972129.9,,,11.0,3.292,0.13,,,
1288972130.326,,,11.0,3.242,-0.095,,,
1288972130.425,0.165,0.902,,,,,,
1288972130.4259999,,,,,,1.4646406,-3.5033527,0.53749633
1288972130.541,,,11.0,3.076,-0.271,,,
1288972133.189,0.165,0.902,,,,,,
1288972133.1899998,,,,,,1.8011775,-3.2586012,0.63389633
1288972133.204,,,12.0,4.321,0.289,,,
1288972133.204,,,1.0,2.077,0.233,,,
1288972133.309,0.165,0.902,,,,,,
1288972133.31,,,,,,1.8160913,-3.2478027,0.66619633
1288972133.417,,,11.0,2.584,-0.402,,,
1288972133.429,0.165,0.902,,,,,,
1288972133.4299998,,,,,,1.828046,-3.2379501,0.73539633
1288972133.417,,,11.0,2.584,-0.402,,,
1288972133.631,,,11.0,2.434,-0.522,,,
1288972133.667,0.165,0.902,,,,,,
1288972133.668,,,,,,1.8494839,-3.2154848,0.88009633
1288972133.417,,,11.0,2.584,-0.402,,,
1288972133.631,,,11.0,2.434,-0.522,,,
1288972140.037,0.165,0.902,,,,,,
1288972140.0379999,,,,,,2.3895601,-2.4188261,0.94499633
1288972140.068,,,13.0,2.734,0.324,,,
1288972140.157,0.165,0.902,,,,,,
1288972140.158,,,,,,2.4000138,-2.4029701,0.98179633
1288972140.068,,,13.0,2.734,0.324,,,
1288972140.49,,,13.0,2.781,0.108,,,
1288972140.517,0.165,0.902,,,,,,
1288972140.518,,,,,,2.4211699,-2.3651937,1.21739633
1288972140.068,,,13.0,2.734,0.324,,,
1288972140.49,,,13.0,2.781,0.108,,,
1288972140.702,,,13.0,2.781,-0.004,,,
1288972140.755,0.165,0.902,,,,,,
1288972140.756,,,,,,2.4313747,-2.3344178,1.36399633
1288972140.068,,,13.0,2.734,0.324,,,
1288972140.49,,,13.0,2.781,0.108,,,
1288972140.702,,,13.0,2.781,-0.004,,,
1288972140.913,,,13.0,2.704,-0.127,,,
1288972140.995,0.165,0.902,,,,,,
1288972140.9959998,,,,,,2.4355845,-2.3026421,1.50179633
1288972140.068,,,13.0,2.734,0.324,,,
1288972140.49,,,13.0,2.781,0.108,,,
1288972140.702,,,13.0,2.781,-0.004,,,
1288972140.913,,,13.0,2.704,-0.127,,,
1288972144.965,0.165,0.902,,,,,,
1288972144.9659998,,,,,,2.3788121,-1.7129647,1.68579633
1288972140.068,,,13.0,2.734,0.324,,,
1288972140.49,,,13.0,2.781,0.108,,,
1288972140.702,,,13.0,2.781,-0.004,,,
1288972140.913,,,13.0,2.704,-0.127,,,
1288972146.317,,,14.0,2.607,-0.048,,,
1288972146.405,0.165,0.902,,,,,,
1288972146.406,,,,,,2.2917316,-1.544664,2.49099633
1288972140.068,,,13.0,2.734,0.324,,,
